recordId,lockDate,username,recordType,success
1423335582,2025-07-21 21:38:30,Nick,Keyboard,Success
1421733110,2025-07-21 07:48:26,cajfh_78fe7a97b740433191aa00867a9fcd08,Gateway,Success
1420411230,2025-07-20 21:12:56,Nick right,Fingerprint,Success
1417893032,2025-07-19 22:13:47,Nick right,Fingerprint,Success
1416138950,2025-07-19 07:13:06,cajfh_78fe7a97b740433191aa00867a9fcd08,App,Success
1416111438,2025-07-19 07:01:41,cajfh_78fe7a97b740433191aa00867a9fcd08,Gateway,Success
1415288482,2025-07-18 23:53:42,Nick right,Fingerprint,Success
1414792728,2025-07-18 18:44:45,Dad right,Fingerprint,Failed
1414792162,2025-07-18 18:44:21,Nick right,Fingerprint,Success
1414791878,2025-07-18 18:44:10,Dad right,Fingerprint,Success
1414790576,2025-07-18 18:43:11,Nick,Keyboard,Success
1414790564,2025-07-18 18:43:03,,Type 47,Success
1414790558,2025-07-18 18:42:40,75,Keyboard,Failed
1414790556,2025-07-18 18:42:47,Nick,Keyboard,Failed
1414788642,2025-07-18 18:42:21,Nick,Keyboard,Failed
1414787640,2025-07-18 18:41:47,67509***,Keyboard,Success
1414785232,2025-07-18 18:40:59,Nick right,Fingerprint,Success
1414784306,2025-07-18 18:40:54,,Key,Success
1396626196,2025-07-12 07:57:06,cajfh_78fe7a97b740433191aa00867a9fcd08,Gateway,Success
1396626190,2025-07-12 07:56:54,cajfh_78fe7a97b740433191aa00867a9fcd08,App,Success
